               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.028467,            0.027293,           0.0066093,             0.94969,              0.7723,             0.88001,             0.53731,            0.019526,            0.016737,           0.0022271,            0.001585,            0.001585,            0.001585
                  70,            0.028916,            0.029065,           0.0085839,             0.94331,             0.77562,             0.86475,             0.52117,            0.019514,            0.016895,           0.0023285,           0.0014612,           0.0014612,           0.0014612
                  71,            0.028322,            0.025096,           0.0074042,             0.93543,             0.79205,             0.88224,             0.53013,            0.019277,            0.016719,           0.0022634,           0.0013375,           0.0013375,           0.0013375
                  72,            0.029273,            0.028092,           0.0077684,             0.89178,             0.82361,             0.90469,             0.54571,            0.019477,            0.016863,           0.0020642,           0.0012138,           0.0012138,           0.0012138
                  73,            0.029637,            0.029743,           0.0081963,             0.86915,              0.7886,             0.84147,             0.52358,            0.019958,             0.01696,           0.0020426,             0.00109,             0.00109,             0.00109
                  74,            0.027053,            0.028243,           0.0080546,             0.90288,             0.81801,             0.91571,             0.55894,             0.01912,            0.016796,           0.0020537,          0.00096625,          0.00096625,          0.00096625
                  75,            0.028934,            0.026886,           0.0077457,             0.91056,             0.83227,             0.90023,             0.56085,            0.019134,             0.01685,           0.0020791,           0.0008425,           0.0008425,           0.0008425
                  76,            0.026764,            0.026321,           0.0072988,             0.92182,             0.83515,             0.91228,             0.56824,            0.019185,            0.016933,            0.002111,          0.00071875,          0.00071875,          0.00071875
                  77,            0.028987,            0.029071,           0.0083472,             0.90076,             0.84926,             0.92109,             0.56657,            0.019511,            0.016818,           0.0019933,            0.000595,            0.000595,            0.000595
                  78,            0.029059,            0.028526,           0.0076744,             0.88028,              0.7886,             0.86286,             0.55191,            0.019713,            0.016795,           0.0019325,          0.00047125,          0.00047125,          0.00047125
                  79,            0.026174,            0.028254,           0.0067579,             0.90864,             0.81801,             0.90254,              0.5581,            0.019993,            0.016888,           0.0020272,           0.0003475,           0.0003475,           0.0003475
